mnemonic,assigned_id,title
ev,hk-hqwn,Event Model spec - implementation
ev-001,hk-hqwn.1,Every event MUST carry the common envelope fields
ev-002,hk-hqwn.2,event_id MUST be a UUIDv7
ev-002a,hk-hqwn.3,UUIDv7 generation MUST be monotonic within a process
ev-002b,hk-hqwn.4,Handler-subprocess event_id generation MUST route through the daemon
ev-002c,hk-hqwn.5,UUIDv7 monotonicity across daemon restart via high-water-mark file
ev-003,hk-hqwn.6,timestamp_mono_nsec is process-scoped and NOT cross-process-comparable
ev-004,hk-hqwn.7,source_subsystem is layout-open
ev-005,hk-hqwn.8,"Events are lifecycle-boundary signals, not agent internals"
ev-006,hk-hqwn.9,Wall clock is advisory for cross-process ordering
ev-007,hk-hqwn.10,Monotonic time orders intra-process events
ev-008,hk-hqwn.11,Partial-order contract
ev-009,hk-hqwn.12,"Subscription is declared at registration, not inferred"
ev-010,hk-hqwn.13,Synchronous consumer class
ev-011,hk-hqwn.14,Asynchronous consumer class
ev-011a,hk-hqwn.15,Non-blocking producer back-pressure
ev-012,hk-hqwn.16,Observer consumer class
ev-013,hk-hqwn.17,Consumer class is opt-in at subscription
ev-014,hk-hqwn.18,Subscription-time class conflict is a startup error
ev-014a,hk-hqwn.19,Dispatch semantics
ev-014b,hk-hqwn.20,Consumers MUST be idempotent on recovery and dead-letter replay
ev-014c,hk-hqwn.21,Observer dispatch uses per-observer goroutine plus bounded queue
ev-014d,hk-hqwn.22,Consumer-recovery replay contract (closes EV-INV-002 consumer side)
ev-015,hk-hqwn.23,JSONL is the durable on-disk form
ev-016,hk-hqwn.24,Every §8 row MUST declare durability class; fsync derives from class (coalesce)
ev-017,hk-hqwn.25,Event loss between fsyncs is acceptable because git is authoritative
ev-018,hk-hqwn.26,Producers MUST emit events idempotently
ev-019,hk-hqwn.27,Panic handler MUST flush structured logs
ev-019a,hk-hqwn.28,Panic handler SHOULD best-effort flush the bus
ev-020,hk-hqwn.29,JSONL writes MUST be append-only
ev-021,hk-hqwn.30,Observational replay MUST NOT reconstruct state
ev-022,hk-hqwn.31,State reconstruction MUST NOT walk JSONL
ev-023,hk-hqwn.32,Divergence-evidence read with post-crash-window guardrail + inconclusive classification (coalesce)
ev-024,hk-hqwn.33,Replay cannot re-establish agent state or re-invoke LLMs
ev-025,hk-hqwn.34,Each event type has exactly one owning spec for payload shape
ev-026,hk-hqwn.35,Subsystems MAY emit internal events not on this list
ev-027,hk-hqwn.36,Adding or removing a cross-bus event type requires a foundation amendment
ev-028,hk-hqwn.37,Each event type and the envelope carry schema_version
ev-029,hk-hqwn.38,N-1 readable compatibility window (per-type AND envelope)
ev-030,hk-hqwn.39,Breaking-change classification is declared in §6.4
ev-031,hk-hqwn.40,Every event type declared in §8 MUST carry four-axis tags AND durability class
ev-032,hk-hqwn.41,Events are tagged-union envelope plus payload-constructor registry
ev-033,hk-hqwn.42,Type dispatch is deterministic on the type field
ev-034,hk-hqwn.43,Registry registration is startup-time
ev-034a,hk-hqwn.44,source_subsystem identifiers are registered at startup
ev-035,hk-hqwn.45,Redaction registry applied before emission
