mnemonic,assigned_id,title
cp,hk-a8bg,Control Points spec — implementation
cp-001,hk-a8bg.1,ControlPoint is a single typed primitive
cp-002,hk-a8bg.2,ControlPoint name is unique within the registry
cp-003,hk-a8bg.3,Evaluator is boundary-classified
cp-004,hk-a8bg.4,Per-Kind semantics fixed by the §4.1 table (coalesce)
cp-006,hk-a8bg.5,Gate fires on transition attempt
cp-007,hk-a8bg.6,Gate attach points + declared-order short-circuit
cp-008,hk-a8bg.7,Gate subtypes declare intent
cp-009,hk-a8bg.8,Gate denial leaves the run in the source state
cp-010,hk-a8bg.9,Gate invocation is owned by S01
cp-011,hk-a8bg.10,Gate evaluator MAY be cognition-tagged
cp-012,hk-a8bg.11,Hook fires on event match
cp-013,hk-a8bg.12,Hook lifecycle event types (MVH-baseline trigger set)
cp-014,hk-a8bg.13,Hook ordering is deterministic
cp-015,hk-a8bg.14,Hook failures are typed and do not halt the chain
cp-016,hk-a8bg.15,Hook dispatch is owned by S05; delivery is at-least-once
cp-017,hk-a8bg.16,Hook evaluator MAY be cognition-tagged
cp-018,hk-a8bg.17,Guard reorders edges only
cp-019,hk-a8bg.18,Guard precedes the cascade
cp-020,hk-a8bg.19,Guard MUST be mechanism-tagged
cp-021,hk-a8bg.20,Guard invocation is owned by S01
cp-022,hk-a8bg.21,"Budget declares a typed, scoped allowance"
cp-023,hk-a8bg.22,Budget is enforced at dispatch
cp-024,hk-a8bg.23,Budget accrual is per-chunk
cp-025,hk-a8bg.24,Budget warning threshold fires at 80% by default
cp-026,hk-a8bg.25,Budget counter state is internal; observable only via events
cp-026a,hk-a8bg.26,Budget counters rehydrate from JSONL `budget_accrual` replay
cp-027,hk-a8bg.27,Reconciliation wall-clock budget is an outer bound
cp-028,hk-a8bg.28,Role permission schema
cp-029,hk-a8bg.29,MVH-required roles carry concrete default permission sets
cp-030,hk-a8bg.30,Declared-but-deferred roles carry empty shells
cp-031,hk-a8bg.31,Default skills include the Beads-CLI skill (notes: CP-052)
cp-032,hk-a8bg.32,Freedom profile is a per-state constraint bundle
cp-033,hk-a8bg.33,Freedom-profile tightest-wins semantics
cp-034,hk-a8bg.34,Policy expressions use the `expr-lang/expr` grammar
cp-034b,hk-a8bg.35,Policy expression evaluation cost ceiling (AST-step + wall-clock)
